Timestamp,Src_IP,Dst_IP,Src_Port,Dst_Port,Protocol,Packet_Size,TTL,Flags,Attack_Type
1743394010.475822,192.168.246.25,142.250.196.174,59592,443,17,120,64,N/A,Normal
1743394010.479299,142.250.196.174,192.168.246.25,443,59592,17,985,58,N/A,Normal
1743394010.481622,142.250.196.174,192.168.246.25,443,59592,17,74,58,N/A,Normal
1743394010.490109,142.250.196.174,192.168.246.25,443,59592,17,66,58,N/A,Normal
1743394010.493001,142.250.196.174,192.168.246.25,443,59592,17,64,58,N/A,Normal
1743394010.4962509,192.168.246.25,142.250.196.174,59592,443,17,73,64,N/A,Normal
1743394010.498373,192.168.246.25,142.250.196.174,59592,443,17,73,64,N/A,Normal
1743394010.564866,142.250.196.174,192.168.246.25,443,59592,17,162,58,N/A,Normal
1743394010.589679,192.168.246.25,142.250.196.174,59592,443,17,74,64,N/A,Normal
1743394010.7335339,192.168.246.25,20.189.172.33,62091,443,6,78,64,S,Normal
1743394010.769724,192.168.246.25,142.250.196.174,59592,443,17,71,64,N/A,Normal
1743394010.86758,142.250.196.174,192.168.246.25,443,59592,17,67,58,N/A,Normal
1743394011.0609322,20.189.172.33,192.168.246.25,443,62091,6,62,101,SA,Normal
1743394011.0647411,192.168.246.25,20.189.172.33,62091,443,6,54,64,R,Normal
1743394011.07174,192.168.246.25,142.250.196.174,59592,443,17,71,64,N/A,Normal
1743394011.194405,142.250.196.174,192.168.246.25,443,59592,17,68,58,N/A,Normal
1743394011.395295,192.168.246.25,142.250.196.174,59592,443,17,71,64,N/A,Normal
1743394011.521761,142.250.196.174,192.168.246.25,443,59592,17,68,58,N/A,Normal
1743394011.6509912,192.168.246.25,20.189.172.33,62094,443,6,78,64,S,Normal
1743394011.658725,192.168.246.50,192.168.246.210,1364,80,6,54,64,S,Normal
1743394011.665128,192.168.246.50,192.168.246.210,1365,80,6,54,64,S,Normal
1743394011.673793,192.168.246.50,192.168.246.210,1366,80,6,54,64,S,Normal
1743394011.676836,192.168.246.50,192.168.246.210,1367,80,6,54,64,S,Normal
1743394011.6822112,192.168.246.50,192.168.246.210,1368,80,6,54,64,S,Normal
1743394011.6897652,192.168.246.50,192.168.246.210,1369,80,6,54,64,S,Normal
1743394011.739553,192.168.246.50,192.168.246.210,1370,80,6,54,64,S,Normal
1743394011.7419689,192.168.246.50,192.168.246.210,1371,80,6,54,64,S,Normal
1743394011.745249,192.168.246.50,192.168.246.210,1372,80,6,54,64,S,Normal
1743394011.7544892,192.168.246.50,192.168.246.210,1373,80,6,54,64,S,Normal
1743394011.759774,192.168.246.50,192.168.246.210,1374,80,6,54,64,S,Normal
1743394011.7634292,192.168.246.50,192.168.246.210,1375,80,6,54,64,S,Normal
1743394011.773443,192.168.246.50,192.168.246.210,1376,80,6,54,64,S,Normal
1743394011.77707,192.168.246.50,192.168.246.210,1377,80,6,54,64,S,Normal
1743394011.779648,192.168.246.50,192.168.246.210,1378,80,6,54,64,S,Normal
1743394011.789213,192.168.246.50,192.168.246.210,1379,80,6,54,64,S,Normal
1743394011.791532,192.168.246.50,192.168.246.210,1380,80,6,54,64,S,Normal
1743394011.795224,192.168.246.50,192.168.246.210,1381,80,6,54,64,S,Normal
1743394011.797704,192.168.246.50,192.168.246.210,1382,80,6,54,64,S,Normal
1743394011.808265,192.168.246.50,192.168.246.210,1383,80,6,54,64,S,Normal
1743394011.813494,192.168.246.50,192.168.246.210,1384,80,6,54,64,S,Normal
1743394011.823117,192.168.246.50,192.168.246.210,1385,80,6,54,64,S,Normal
